	host_response_time	cancellation_policy	host_is_superhost	host_has_profile_pic	host_identity_verified	is_location_exact	instant_bookable	require_guest_profile_picture	require_guest_phone_verification	24-Hour_Check-in	Air_Conditioning	Breakfast	Buzzer/Wireless_Intercom	Cable_TV	Carbon_Monoxide_Detector	Cat(s)	Dog(s)	Dryer	Elevator_in_Building	Essentials	Family/Kid_Friendly	Fire_Extinguisher	First_Aid_Kit	Free_Parking_on_Premises	Gym	Hair_Dryer	Hangers	Heating	Hot_Tub	Indoor_Fireplace	Internet	Iron	Kitchen	Laptop_Friendly_Workspace	Pets_Allowed	Pets_live_on_this_property	Safety_Card	Shampoo	Smoke_Detector	Suitable_for_Events	TV	Washer	Wheelchair_Accessible	Wireless_Internet	property_type_Apartment	property_type_House	room_type_Entire_home/apt	room_type_Private_room	bed_type_Real_Bed
0	1	1	0	1	1	1	0	0	0	0	1	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	1	1	0	1	1	0	1	0	1
1	0	0	1	1	1	1	0	1	1	0	0	0	1	0	1	0	0	1	0	1	1	1	1	1	0	0	0	1	0	0	1	0	1	0	0	0	1	0	1	0	1	1	0	1	1	0	1	0	1
2	1	0	0	1	1	1	0	0	0	0	1	0	0	1	1	1	1	1	0	1	1	0	0	1	0	0	0	1	1	1	1	0	1	0	1	1	0	1	1	0	1	1	0	1	0	1	1	0	1
4	0	0	0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	1	1	0	0	0	0	1	0	0	1	0	1	0	0	0	0	1	1	0	1	0	0	1	0	1	1	0	1
5	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	1	0	1	1
6	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	1	0	1	1
7	0	0	1	1	1	1	0	1	1	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	1	1
8	0	0	0	1	1	1	0	0	0	0	0	1	0	1	0	0	0	1	0	1	0	1	1	0	0	0	0	1	0	1	1	0	1	0	0	0	0	1	1	0	1	1	0	1	1	0	0	1	1
9	0	0	1	1	1	1	0	1	1	0	0	0	1	0	1	0	0	1	0	1	1	1	1	1	0	0	0	1	0	0	1	0	1	0	0	0	1	0	1	0	1	1	0	1	1	0	1	0	1
10	1	1	1	1	1	1	0	1	0	1	0	0	0	1	1	0	0	1	0	1	0	1	1	1	0	1	1	1	0	0	1	1	1	1	0	0	1	1	1	0	1	1	0	1	0	1	1	0	1
11	1	0	0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	1	0	1	0	0	0	1	0	1	0	0	1	0	0	0	0	1	1	0	1	0	0	1	0	1	1	0	1
