	host_response_rate	host_listings_count	host_verificationCount	host_since_deltaDays	calculated_host_listings_count	latitude	longitude	accommodates	bathrooms	bedrooms	beds	price	weekly_price	security_deposit	cleaning_fee	guests_included	extra_people	minimum_nights	maximum_nights	number_of_reviews	last_review_deltaDays	first_review_deltaDays	review_scores_rating	review_scores_accuracy	review_scores_cleanliness	review_scores_checkin	review_scores_communication	review_scores_location	review_scores_value	reviews_per_month	performance
0	4.574711	1.3862944	4	1607.0	1.0986123	47.636288	-122.371025	1.609438	0.6931472	0.6931472	0.6931472	4.454347	6.4785094	5.3033047	3.9318256	1.0986123	1.7917595	0.6931472	5.902633	5.3375382	1.0986122886681096	7.330405211844402	4.564348	2.3978953	2.3978953	2.3978953	2.3978953	2.3025851	2.3978953	1.6233408	5.960103
1	4.59512	1.9459102	6	1047.0	1.9459102	47.639122	-122.36567	1.609438	0.6931472	0.6931472	0.6931472	5.0172796	6.908755	4.6151204	3.713572	0.6931472	0.0	1.0986123	4.5108595	3.7841897	1.9459101490553132	6.767343125265392	4.574711	2.3978953	2.3978953	2.3978953	2.3978953	2.3978953	2.3978953	0.90825856	4.9634037
2	4.2195077	1.0986123	5	571.0	1.0986123	47.629723	-122.369484	2.4849067	1.7047482	1.7917595	2.0794415	6.8834624	6.4785094	6.908755	5.7071104	2.3978953	3.2580965	1.609438	3.4339871	3.0445225	4.820281565605037	6.261491684321042	4.5849676	2.3978953	2.3978953	2.3978953	2.3978953	2.3978953	2.3978953	0.7654678	4.7233977
4	4.6151204	1.0986123	5	1497.0	0.6931472	47.63292	-122.37247	1.9459102	1.0986123	1.3862944	1.3862944	6.1114674	6.4785094	6.552508	4.836282	1.9459102	2.7725887	0.6931472	7.026427	3.6635616	4.290459441148391	7.149916836132109	4.5325994	2.3025851	2.3025851	2.3978953	2.3978953	2.3025851	2.3025851	0.63657683	4.4173937
5	4.6151204	0.6931472	5	1836.0	0.6931472	47.630524	-122.36617	1.0986123	0.6931472	0.6931472	0.6931472	4.7957907	6.685861	5.3033047	3.713572	0.6931472	3.4339871	0.6931472	1.9459102	2.8903718	4.59511985013459	5.337538079701318	4.564348	2.3978953	2.3978953	2.3978953	2.3978953	2.3978953	2.3978953	1.2383742	5.4542522
6	4.6151204	0.6931472	4	1314.0	0.6931472	47.636604	-122.36852	1.0986123	0.6931472	0.6931472	0.6931472	4.394449	6.3561077	5.0172796	3.9318256	0.6931472	2.3978953	1.3862944	2.7080503	4.0775375	3.367295829986474	6.56244409369372	4.6051702	2.3978953	2.3978953	2.3978953	2.3978953	2.3978953	2.3978953	1.2412686	5.499379
7	4.6151204	1.7917595	7	1161.0	1.7917595	47.64016	-122.375854	1.0986123	0.6931472	0.6931472	0.6931472	4.1108737	5.888878	5.0172796	3.2580965	0.6931472	0.0	1.0986123	2.0794415	5.159055	1.3862943611198906	7.00033446027523	4.5849676	2.3978953	2.3978953	2.3978953	2.3978953	2.3025851	2.3978953	1.7457155	6.130813
8	4.6151204	0.6931472	6	1356.0	0.6931472	47.632412	-122.357216	1.0986123	0.6931472	0.6931472	0.6931472	4.5108595	6.216606	5.3033047	3.9318256	0.6931472	0.0	1.3862944	7.026427	2.1972246	4.948759890378168	5.2832037287379885	4.5849676	2.3978953	2.3025851	2.3978953	2.3025851	2.3978953	2.3978953	0.7975072	4.7819767
9	4.59512	1.9459102	6	1047.0	1.9459102	47.637493	-122.36689	1.609438	0.6931472	0.6931472	0.6931472	5.0172796	6.908755	4.6151204	3.713572	0.6931472	0.0	1.0986123	5.902633	3.4965076	2.772588722239781	6.42648845745769	4.5849676	2.3978953	2.3978953	2.3978953	2.3978953	2.3978953	2.3025851	0.93609333	5.019595
10	4.6151204	0.6931472	4	1933.0	0.6931472	47.635483	-122.358475	1.0986123	0.6931472	0.6931472	0.6931472	4.564348	6.3902407	5.3033047	2.7725887	1.0986123	2.7725887	1.3862944	2.0794415	5.2040067	3.713572066704308	7.395721608602045	4.5849676	2.3978953	2.3978953	2.3978953	2.3978953	2.3978953	2.3978953	1.4655675	5.780774
11	4.6151204	0.6931472	5	1093.0	0.6931472	47.637215	-122.36005	1.0986123	0.6931472	0.6931472	0.6931472	4.6051702	6.685861	6.216606	5.0172796	0.6931472	0.0	1.3862944	7.026427	2.1972246	2.995732273553991	5.497168225293202	4.5849676	2.3978953	2.3978953	2.3025851	2.3978953	2.3978953	2.3025851	0.6830968	4.564973
12	4.6151204	0.6931472	5	509.0	0.6931472	47.635544	-122.37317	1.609438	0.6931472	1.0986123	1.3862944	5.5053315	7.362645	5.7071104	4.564348	0.6931472	0.0	1.3862944	2.7080503	2.6390574	4.553876891600541	6.045005314036012	4.59512	2.3978953	2.3978953	2.3978953	2.3978953	2.3978953	2.3978953	0.6523252	4.512616
13	4.6151204	0.6931472	4	359.0	0.6931472	47.629505	-122.36763	1.7917595	0.6931472	1.0986123	1.3862944	5.1119876	6.4785094	5.9939613	4.454347	1.609438	3.0445225	1.0986123	7.026427	1.3862944	1.0986122886681096	2.995732273553991	4.6151204	2.3978953	2.3978953	2.3025851	2.3025851	2.3978953	2.3978953	1.3862944	5.7071104
14	4.6151204	0.6931472	5	451.0	0.6931472	47.639202	-122.36586	2.8332133	1.5040774	1.9459102	2.7725887	6.135565	6.4785094	7.3138866	5.7071104	2.1972246	3.9318256	1.3862944	3.4011974	2.944439	3.9318256327243257	5.318119993844216	4.59512	2.3025851	2.3978953	2.3978953	2.3978953	2.3978953	2.3978953	1.2947272	5.56337
15	4.6151204	0.6931472	3	1265.0	0.6931472	47.63565	-122.372894	1.7917595	0.6931472	1.0986123	1.0986123	4.7004805	6.4785094	5.3033047	4.4998097	0.6931472	0.0	1.3862944	2.7725887	0.6931472	3.713572066704308	3.713572066704308	4.394449	2.1972246	2.3978953	2.1972246	2.1972246	2.1972246	2.1972246	0.54812145	4.0842943
