State,Abbreviation,Income
Alabama,AL,"49,936"
Alaska,AK,"68,734"
Arizona,AZ,"62,283"
Arkansas,AR,"49,781"
California,CA,"70,489"
Colorado,CO,"73,034"
Connecticut,CT,"72,812"
Delaware,DE,"65,012"
District of Columbia,DC,"85,750"
Florida,FL,"54,644"
Georgia,GA,"55,821"
Hawaii,HI,"80,108"
Idaho,ID,"58,728"
Illinois,IL,"70,145"
Indiana,IN,"59,892"
Iowa,IA,"68,718"
Kansas,KS,"63,938"
Kentucky,KY,"54,555"
Louisiana,LA,"49,973"
Maine,ME,"58,663"
Montana,MT,"86,223"
Nebraska,NE,"86,345"
Nevada,NV,"60,449"
New Hampshire,NH,"71,817"
New Jersey,NJ,"42,781"
New Mexico,NM,"61,726"
New York,NY,"57,679"
North Carolina,NC,"67,575"
North Dakota,ND,"61,864"
Ohio,OH,"81,346"
Oklahoma,OK,"74,176"
Oregon,OR,"48,283"
Maryland,MD,"67,274"
Massachusetts,MA,"53,369"
Michigan,MI,"66,505"
Minnesota,MN,"61,633"
Mississippi,MS,"54,434"
Missouri,MO,"69,165"
Pennsylvania,PA,"64,524"
Rhode Island,RI,"62,266"
South Carolina,SC,"57,444"
South Dakota,SD,"59,463"
Tennessee,TN,"56,060"
Texas,TX,"59,785"
Utah,UT,"77,067"
Vermont,VT,"70,066"
Virginia,VA,"77,151"
Washington,WA,"79,726"
West Virginia,WV,"50,573"
Wisconsin,WI,"62,629"
Wyoming,WY,"62,539"
